latitude,longitude,locality,region,country
47.72,10.31,Kempten (Allgäu),Bavaria,Germany
52.27,10.5,Brunswick,Lower Saxony,Germany
51.99,6.91,Stadtlohn,North Rhine-Westphalia,Germany
52.83,9,Bruchhausen-Vilsen,Lower Saxony,Germany
48.2,16.36,Vienna,Vienna,Austria
48.11,11.57,Munich,Bavaria,Germany
48.02,9.4,Bremen,Baden-Württemberg,Germany
49.92,10.23,Gernach,Bavaria,Germany
52.26,10.55,Brunswick,Lower Saxony,Germany
50.3,8.5,Neu-Anspach,Hesse,Germany
49.99,8.42,Rüsselsheim am Main,Hesse,Germany
50.01,8.88,Rodgau,Hesse,Germany
50.15,8.95,Hanau,Hesse,Germany
51.22,7.63,Lüdenscheid,North Rhine-Westphalia,Germany
49.42,8.68,Heidelberg,Baden-Württemberg,Germany
50.2,8.58,Oberursel (Taunus),Hesse,Germany
51.44,7.57,Schwerte,North Rhine-Westphalia,Germany
48.9,9.23,Ludwigsburg,Baden-Württemberg,Germany
52.57,13.39,Berlin,Berlin,Germany
51.38,7.44,Hagen,North Rhine-Westphalia,Germany
51.25,6.79,Dusseldorf,North Rhine-Westphalia,Germany
51.54,7.73,Unna,North Rhine-Westphalia,Germany
51.47,7.52,Dortmund,North Rhine-Westphalia,Germany
40.55,-3.69,Madrid,Community of Madrid,Spain
49.35,8.14,Neustadt an der Weinstraße,Rhineland-Palatinate,Germany
52.54,13.36,Berlin,Berlin,Germany
45.52,9.2,Milan,Lombardy,Italy
50.11,8.67,Frankfurt,Hesse,Germany
50.81,12.35,Crimmitschau,Saxony,Germany
51.3,7.62,Herlsen,North Rhine-Westphalia,Germany
49.6,11.05,Spardorf,Bavaria,Germany
50,9.42,Neuhütten,Bavaria,Germany
51.55,13.93,Meuro,Brandenburg,Germany
-36.87,174.77,Albert-Eden,Auckland,New Zealand
49.34,8.66,Sandhausen,Baden-Württemberg,Germany
50.22,8.62,Bad Homburg vor der Höhe,Hesse,Germany
52.36,9.67,Hanover,Lower Saxony,Germany
33,65,NA,Helmand Province,Afghanistan
48.63,8.05,Achern,Baden-Württemberg,Germany
51.29,6.39,Viersen,North Rhine-Westphalia,Germany
50.74,7.06,Bonn,North Rhine-Westphalia,Germany
51.27,6.81,Dusseldorf,North Rhine-Westphalia,Germany
49.99,8.58,Mörfelden,Hesse,Germany
50.18,8.47,Königstein,Hesse,Germany
49.74,6.63,Trier,Rhineland-Palatinate,Germany
49.25,7,Saarbrücken,Saarland,Germany
47.98,10.17,Memmingen,Bavaria,Germany
52.6,13.36,Berlin,Berlin,Germany
50.35,8.53,Eschbach,Hesse,Germany
49.8,7.65,Bad Sobernheim,Rhineland-Palatinate,Germany
52.57,13.42,Berlin,Berlin,Germany
50.93,6.93,Cologne,North Rhine-Westphalia,Germany
47.96,12.6,Traunreut,Bavaria,Germany
47.23,8.82,Rapperswil-Jona,St. Gallen,Switzerland
48.2,16.35,Vienna,Vienna,Austria
52.7,7.3,Meppen,Lower Saxony,Germany
50.55,8.51,Wetzlar,Hesse,Germany
50.23,8.75,Kloppenheim,Hesse,Germany
53.14,8.21,Oldenburg,Lower Saxony,Germany
53.24,7.92,Westerstede,Lower Saxony,Germany
50.85,5.67,Maastricht,Limburg,Netherlands
51.37,13,Dahlen,Saxony,Germany
47.8,13.77,Roith,Upper Austria,Austria
53.13,8.18,Oldenburg,Lower Saxony,Germany
50.78,6.08,Aachen,North Rhine-Westphalia,Germany
50.86,13.95,Bad Gottleuba-Berggießhübel,Saxony,Germany
48.06,13.77,Schwanenstadt,Upper Austria,Austria
50.01,8.28,Wiesbaden,Hesse,Germany
48.65,11.78,Mainburg,Bavaria,Germany
48,13.72,Attnang-Puchheim,Upper Austria,Austria
47.85,16.62,Schützen am Gebirge,Burgenland,Austria
50.58,10.5,Rohr,Thuringia,Germany
52.31,9.81,Laatzen-Mitte,Lower Saxony,Germany
48.22,10.1,Illertissen,Bavaria,Germany
50.17,7.55,Ehr,Rhineland-Palatinate,Germany
48.82,13.1,Oberauerbach,Bavaria,Germany
47.99,7.89,Freiburg im Breisgau,Baden-Württemberg,Germany
52.46,13.32,Berlin,Berlin,Germany
53.89,11.46,Wismar,Mecklenburg-Vorpommern,Germany
49,8.48,Karlsruhe,Baden-Württemberg,Germany
53.06,8.27,Streekermoor,Lower Saxony,Germany
51.02,7.77,Drolshagen,North Rhine-Westphalia,Germany
49.49,8.53,Mannheim,Baden-Württemberg,Germany
54.15,12.06,Rostock,Mecklenburg-Vorpommern,Germany
52.3,13.17,Fahlhorst,Brandenburg,Germany
