cue,n_corrected,n_raw
Barsch,5,5
Bart,92,78
Base,30,25
Basel,86,65
Basis,112,91
Bass,27,21
Bassgeige,0,0
Bassgitarre,0,0
Bastard,0,0
Bau,163,139
Bauarbeiter,68,54
Bauch,199,174
Bauer,271,217
Bauernhof,210,175
Baum,933,756
Baumarkt,45,36
Baumwolle,38,32
Baustelle,266,227
Bayern,336,283
Beamer,27,24
Beamte,53,42
Beamter,69,58
Bearbeitung,11,9
Becher,38,28
Becken,29,24
Bedarf,27,27
Bedenken,19,19
Bedeutung,159,132
Bedienung,34,30
Bedingung,75,67
Bedrohung,53,45
Bedürfnis,64,50
Beerdigung,111,99
Beere,8,7
Beethoven,33,28
Befehl,155,134
Befreiung,24,17
Befriedigung,23,17
Begabung,39,32
Begegnung,34,30
Begeisterung,60,49
Begierde,17,13
Beginn,198,195
Begrenzung,50,39
Begriff,52,52
Begründung,85,77
Behandlung,39,34
Behinderung,115,95
Behörde,151,130
Beichte,16,16
Beifall,19,18
Beil,34,28
Bein,238,195
Beine,140,117
Beispiel,78,63
Beistelltisch,1,1
Beitrag,30,27
Bekannte,31,30
Bekanntschaft,23,18
Bekleidung,42,38
Belastung,50,43
Beleg,48,43
Belgien,49,38
Belletristik,12,11
Belohnung,66,50
Benennung,15,14
Benutzung,23,20
Benzin,143,113
Benzol,0,0
Beobachtung,32,26
Bequemlichkeit,27,25
Beratung,68,49
Bereich,69,57
Bereitschaft,23,20
Berg,649,547
Berge,425,423
Bericht,55,47
Berlin,345,291
Berliner,10,7
Bern,34,31
Beruf,839,685
Berufsausbildung,7,5
Berufsleben,9,8
Berufung,40,33
Berücksichtigung,2,1
Berührung,56,48
Bescheid,16,13
Beschleunigung,10,9
Beschluss,27,23
Beschreibung,104,85
Beschäftigung,40,38
Besen,140,111
Besitz,223,189
Besonderheit,43,38
Besorgnis,3,3
Besprechung,67,56
Besserwisser,44,32
Bestandteil,36,34
Besteck,95,82
Bestellung,42,39
Bestimmung,36,31
Bestätigung,65,47
Besuch,106,77
Besucher,12,12
Beteiligter,0,0
Beteiligung,21,20
Beton,89,89
Betrachtung,27,24
Betrag,26,22
Betreff,11,9
Betrieb,47,47
Betrug,147,144
Bett,745,610
Bettelmann,3,2
Bettler,45,31
Beurteilung,38,35
Beutel,52,52
Bevölkerung,49,43
Bewegung,355,289
Beweis,128,106
Bewerbung,141,118
Bewertung,123,105
Bewohner,19,16
Bewusstsein,65,48
Bezahlung,29,29
Bezeichnung,40,34
Beziehung,660,569
Beziehungen,51,42
Bezirk,30,19
Bezug,57,39
Bezugsperson,7,5
Bibel,263,233
Biber,5,4
Bibliothek,151,126
Biene,180,146
Bier,629,529
Bikini,44,34
Bilanz,14,12
Bild,735,607
Bilder,247,194
Bildschirm,50,44
Bildung,410,333
Bindeglied,1,1
Bindung,57,46
Bio,88,53
Biochemie,7,5
Biologe,3,3
Biologie,270,224
Birke,7,6
Birne,55,38
Bischof,8,7
Bitte,72,72
Blase,18,18
Blasinstrument,60,46
Blatt,216,173
Blaumann,48,31
Blazer,13,11
Blech,59,43
Bleistift,163,132
Blick,88,88
Blickfeld,2,2
