cue,n_corrected,n_raw
Heiligenbild,4,2
Heilung,87,71
Heim,99,98
Heimat,466,407
Heinrich,9,8
Heinz,13,10
Heirat,96,85
Heizung,88,69
Heizöl,3,3
Hektik,69,58
Held,68,48
Helfer,71,54
Helm,145,111
Helmut,20,15
Hemd,203,166
Henne,38,30
Herausforderung,158,128
Herausgeber,3,3
Herbst,381,378
Herd,78,65
Herde,53,43
Herkunft,163,140
Hermann,0,0
Herr,95,82
Herr der Ringe,28,27
Herrschaft,64,53
Herrscher,79,68
Hersteller,5,4
Herstellung,39,32
Herz,323,249
Herzblut,3,3
Herzklopfen,39,30
Herzog,8,7
Hessen,37,32
Heu,74,66
Hexe,87,87
Hierarchie,147,116
Hilfe,1119,925
Hilfestellung,34,31
Hilflosigkeit,48,43
Hilfsbereitschaft,38,33
Hilfsmittel,41,34
Himbeersaft,0,0
Himmel,512,421
Himmelsrichtung,93,84
Hinblick,4,3
Hindernis,146,115
Hingabe,46,32
Hinleitung,0,1
Hinsicht,5,5
Hintergrund,76,60
Hintern,68,64
Hinweis,138,118
Hippie,39,28
Hirn,48,36
Hirsch,83,67
Hirse,4,4
Hitler,233,188
Hitze,322,258
Hobbies,11,14
Hobby,215,178
Hobbys,15,7
Hobel,33,33
Hochbett,1,0
Hochdeutsch,11,11
Hochhaus,94,77
Hochschule,77,66
Hochwasser,32,25
Hochzeit,356,287
Hocker,22,16
Hof,46,38
Hoffnung,311,268
Hoheit,13,9
Hohn,24,16
Holland,56,45
Hollywood,65,53
Holocaust,40,36
Holz,1308,1302
Honig,88,71
Horizont,108,85
Horn,44,35
Horror,64,49
Hose,371,299
Hosenträger,4,2
Hotel,166,134
Hubschrauber,6,5
Huhn,130,108
Humanismus,15,12
Humanität,16,11
Humor,86,65
Hund,1001,823
Hunger,307,305
Hut,266,220
Hygiene,72,59
Hypothese,47,43
Hälfte,29,22
Hände,215,184
Händler,28,22
Hängeschrank,1,1
Höflichkeit,108,87
Höhe,165,137
Höhepunkt,7,7
Höhle,77,63
Hölle,80,66
Hüfte,28,22
Hügel,107,89
Hülle,32,31
Hürde,54,46
IQ,54,43
Ich,202,201
Ideal,32,32
Idee,553,479
Ideen,92,73
Identität,85,72
Idiot,119,99
Igel,16,16
Ignoranz,36,29
Ikea,132,98
Illusion,63,54
Illustration,11,9
Impfung,48,38
Implementation,3,3
Import,33,23
Impuls,24,19
Indien,103,82
Individualität,30,25
Individuum,64,54
Indonesien,2,1
Industrie,103,93
Information,311,260
Informationen,144,126
Ingenieur,52,44
Ingwer,11,11
Inhalt,178,152
Initiative,28,21
Innenstadt,33,29
Innerer,1,1
Innovation,48,36
Insekt,134,116
Insel,214,178
Inspiration,31,27
Installateur,18,13
Institut,25,19
Institution,53,38
Instrument,724,573
Integration,40,30
Intelligenz,279,217
Intercity,1,1
Interesse,191,151
Internet,678,543
Interpretation,56,50
Interview,16,15
Investition,14,10
Irak,31,23
Iran,23,21
Iris,23,20
Irland,34,27
Irre,17,17
Irrtum,38,33
Islam,145,126
Island,12,7
Israel,44,35
Italien,306,249
Jack,8,7
Jacke,252,197
Jackett,7,6
Jagd,108,93
Jahr,140,120
Jahre,70,47
Jahreszeit,56,46
Jahrhundert,18,12
James Bond,33,28
Januar,23,21
Japan,61,45
Jauche,5,4
Jazz,56,40
Jeans,80,70
Jenseits,16,16
Jesus,311,249
Job,391,307
Joghurt,33,26
Johannes,11,10
John,3,3
Josef,29,26
Journal,12,10
Journalismus,46,40
Journalist,47,38
Jude,8,8
Jugend,230,188
Jugendliche,72,69
Juli,37,32
Junge,113,113
Jungfrau,20,16
Juni,34,29
Jura,131,119
Jurist,49,42
Justiz,96,86
Jäger,97,77
Jürgen,7,5
KI,25,25
Kabel,147,126
Kabinett,10,9
Kaffee,327,276
Kafka,70,54
Kahn,6,4
Kaiser,126,113
Kakao,29,26
Kalender,167,133
Kalorien,51,42
Kamel,28,21
Kamera,195,159
Kamerad,12,11
Kamin,82,67
Kamm,51,44
Kammer,20,17
Kampf,325,260
Kanada,56,48
Kanal,36,29
Kandidat,11,9
Kaninchen,52,34
Kant,60,49
Kante,33,33
Kanton,28,22
Kanu,28,26
Kanzler,61,48
Kap,7,7
Kapazität,8,6
Kapital,44,42
Kapitalismus,171,143
Kapitel,26,21
Kapitulation,7,7
Kapitän,39,32
Kappe,24,21
Karl,95,83
Karneval,148,125
Karo,21,15
Karotte,72,60
Karren,4,4
Karriere,177,154
Karte,202,171
Kartenspiel,34,28
Kartoffel,98,80
Karton,109,92
Kasachstan,5,2
Kasse,101,87
Kasten,53,39
Kasus,13,2
Katalog,26,22
Katastrophe,129,106
Kategorie,37,33
Kater,49,36
Katholik,5,2
Katze,461,375
Kauf,29,28
Kaufhaus,59,50
Kaufmann,11,8
Kehle,2,2
Kelle,24,20
Keller,166,138
Kellner,65,58
Kenia,4,3
Kenntnis,36,29
Kenntnisse,23,18
Kennzeichen,24,22
Kerl,20,18
Kern,52,47
Kernaussage,4,3
Kerze,90,74
Kessel,13,13
Kette,96,96
Keyboard,24,16
Kfz-Mechaniker,1,1
Kiefer,11,7
Kiel,13,10
Killer,8,3
Kilometer,56,46
Kind,1433,1167
Kinder,1823,1466
Kindergarten,174,147
Kinderwagen,15,15
Kindheit,475,373
Kinn,5,4
Kino,282,237
Kiosk,19,16
Kirche,1538,1262
Kirsche,21,20
Kirschsaft,0,0
Kissen,130,104
Kiste,108,84
Kitsch,52,38
Kittel,84,74
Klammer,14,12
Klamotten,119,101
Klang,121,120
Klappe,15,15
Klarheit,106,78
Klarinette,37,28
Klasse,105,105
Klassik,112,83
Klaue,4,4
Klaus,20,17
Klausur,108,89
Klavier,294,242
Kleber,59,50
Kleid,280,230
Kleider,335,251
Kleiderschrank,26,22
Kleidung,926,755
Kleidungsstück,71,55
Kleinigkeit,28,24
Kleinkind,67,57
Klempner,52,34
Klima,112,89
Klimawandel,77,67
Klinge,16,16
Klingel,44,44
Klinik,39,32
Klinke,10,10
Klischee,28,24
Klo,99,82
Kloster,83,69
Klugheit,28,22
Knall,43,42
Knarre,1,1
Knast,67,51
Knecht,19,15
Kneifzange,3,3
Kneipe,68,58
Knie,99,98
Knochen,154,133
Knolle,37,30
Knoten,74,74
Knotenpunkt,4,3
Koalition,20,17
Koblenz,6,4
Koch,40,40
Koffer,109,90
Kohl,117,90
Kohle,90,74
Kohlensäure,42,28
Kohlrabi,5,4
Kollege,73,59
Kollegen,138,123
Kombination,19,15
Kombinatorik,2,2
Kombizange,0,0
Komfort,32,27
Komma,113,87
Kommission,10,8
Kommode,31,21
Kommune,21,18
Kommunikation,365,303
Kommunismus,107,88
Kompass,82,70
Kompetenz,59,51
Komponente,6,5
Kompromiss,193,153
Kondom,66,55
Konferenz,54,49
Konflikt,199,160
Kongo,2,1
Kongress,12,12
Konkurrenz,54,43
Konsens,44,36
Konsequenz,108,95
Konstitution,3,2
Konsum,109,93
Kontakt,130,104
Kontext,29,23
Kontinent,139,120
Kontinente,9,8
Konto,113,91
Kontrabass,35,30
Kontrolle,236,192
Kontroverse,6,5
Konzentration,105,92
Konzept,48,38
Konzeption,2,1
Konzern,15,13
Konzert,373,307
Kooperation,52,42
Kopf,556,452
Kopfbedeckung,32,27
Kopfkino,8,5
Kopfkissen,9,8
Kopfsache,6,4
Kopfsalat,5,2
Kopfschmerzen,48,36
Kopftuch,53,40
Kopie,51,39
Korb,42,33
Korn,99,81
Korrektur,46,37
Korruption,58,46
Kosmetik,36,31
Kostüm,76,61
Kot,43,38
Krach,87,66
Kraft,384,382
Kragen,42,32
Kralle,11,11
Kran,43,35
Kranich,3,3
Krankenhaus,421,367
Krankenkasse,27,21
Krankenschwester,28,21
Krankenwagen,43,37
Krankheit,985,832
Kraut,42,27
Krawatte,107,83
Kreativität,199,160
Krebs,115,91
Kredit,63,58
Kreide,37,37
Kreis,307,252
Kreisel,18,18
Kreissäge,6,4
Kresse,0,0
Kreuz,153,122
Kreuzschlitz,8,4
Krieg,1391,1382
Krimi,213,178
Kriminalität,78,66
Krise,132,117
Kriterium,8,7
Kritik,127,105
Kroatien,22,15
Krokodil,37,35
Krokus,5,4
Krone,126,108
Krähe,5,4
Kräuter,102,88
Krücke,44,38
Kuba,22,19
Kuchen,530,449
Kuckuck,9,6
Kugel,94,94
Kugelschreiber,38,25
Kuh,327,251
Kultur,356,287
Kummer,63,52
Kumpel,46,40
Kunde,27,24
Kunst,825,692
Kurs,72,62
Kurve,53,53
Kurzschluss,8,7
Kuss,88,65
Kutsche,34,30
Käfer,65,54
Käfig,74,61
Kälte,268,221
Kämpfen,14,12
Känguru,35,23
Käse,270,219
Köln,82,71
König,646,525
Königreich,38,32
Körper,554,452
Körperteil,110,91
Küche,480,400
Küchenschrank,3,2
Kühe,113,97
Kühlschrank,92,74
Künstler,168,132
Kürbis,42,31
Küste,35,28
Labor,236,195
Labyrinth,29,23
Lachs,25,18
Ladung,17,15
Lady,9,6
Lage,76,67
Lagebericht,1,1
Lager,66,66
Lagerfeld,9,6
Lagerfeuer,42,34
Lampe,189,147
Lampenfieber,34,33
Land,1054,863
Landesgrenze,3,2
Landeshauptstadt Bayern,0,0
Landesregierung,1,1
Landkarte,49,40
Landkreis,7,7
Landschaft,253,214
Landtag,6,5
Landwirt,23,19
Landwirtschaft,126,108
Langeweile,293,221
Lappen,65,47
Laptop,104,82
Last,104,104
Laster,25,21
Lastwagen,41,34
Latein,113,79
Latzhose,20,17
Laub,74,62
Lauch,37,24
Lauf,32,32
Laufsteg,21,18
Lauge,22,22
Laune,85,71
Laus,6,5
Laute,9,9
Lautstärke,43,38
Leben,942,935
Lebensabschnitt,24,21
Lebensfreude,34,26
Lebensgefühl,11,8
Lebenslauf,82,73
Lebensmittel,227,194
Lebenspartner,12,9
Lebensstandard,7,6
Lebensumstände,5,4
Lebensunterhalt,8,8
Leber,45,36
Lebewesen,73,64
Leder,153,119
Leere,82,82
Leerstelle,3,3
Lego,41,30
Lehm,12,11
Lehre,126,123
Lehrer,624,511
Lehrerin,48,43
Lehrling,27,19
Lehrstelle,4,3
Leiche,73,61
Leichtigkeit,58,49
Leid,207,207
Leidenschaft,165,141
Leine,53,47
Leinwand,56,51
Leipzig,31,26
Leistung,400,345
Leiter,150,121
Leitung,126,101
Lemma,3,3
Lenker,26,21
Lenkrad,52,44
Leopard,15,13
Leser,6,5
Lettland,57,48
Leute,199,157
Level,43,36
Lexikon,129,102
Licht,520,518
Liebe,1804,1798
Liebesbeziehung,5,4
Liebling,15,12
Lied,202,157
Liege,24,24
Liegestuhl,21,18
Lifestyle,12,9
Lift,80,67
Liga,3,3
Likör,4,3
Limit,36,28
Limonade,31,27
Lineal,74,63
Linguistik,40,34
Linie,162,126
Link,29,14
Linse,37,31
Linsen,31,20
Linz,3,3
Lippe,10,7
Lippenstift,48,41
Liste,125,124
Litauen,44,32
Liter,9,7
Literatur,225,197
Lkw,26,13
Lob,132,107
Lobby,13,13
Loch,269,213
Logik,128,106
Logo,8,6
Lohn,213,180
Lokführer,3,3
Lokomotive,37,28
London,111,88
Lord,8,8
Los,32,27
Los Angeles,7,7
Lotto,110,98
Loyalität,41,32
Luchs,3,3
Ludwig,7,6
Luft,496,376
Luftverschmutzung,10,9
Luke,8,7
Lunge,98,82
Lupe,111,91
Lust,163,129
Luxemburg,1,1
Luxus,155,126
Lymphe,0,0
Lyrik,44,37
Länder,128,108
Ländergrenzen,3,3
Länge,141,117
Lärm,358,300
Löffel,108,104
Lösung,351,296
Lötkolben,0,0
Löwe,135,111
Löwenzahn,32,29
Lücke,66,57
Lüge,179,175
Lügner,17,14
Machbarkeit,5,3
Macht,626,617
Mafia,33,24
Magazin,66,50
Magd,18,16
Magen,62,51
Magie,137,110
Magier,30,26
Magnet,60,50
Mahlzeit,65,55
Mai,74,61
Mail,49,41
Main,50,47
Mainz,18,17
Mais,63,54
Majestät,7,6
Major,8,7
Makel,13,11
Maler,138,114
Malerei,64,56
Mama,218,173
Management,39,30
Manager,51,44
Mandoline,0,0
Manege,18,12
Mangel,104,104
Mango,6,5
Mangold,1,1
Manieren,44,30
Manipulation,54,49
Mann,1260,1023
Mannheim,16,11
Mannheimer,0,0
Mannschaft,87,73
Mantel,185,149
Manuskript,7,5
Mappe,24,18
Marathon,50,38
Marge,1,1
Maria,88,70
Mark,21,15
Marke,55,43
Marketing,38,30
Markt,184,146
Marokko,35,26
Martin,14,11
Marx,51,46
Maschine,205,173
Maske,103,87
Massage,74,58
Masse,166,139
Material,135,119
Materie,23,20
Mathe,569,442
Mathematik,836,728
Matratze,33,27
Mauer,180,179
Maul,20,18
Maulschlüssel,5,2
Maultrommel,3,2
Maulwurf,15,12
Maurer,62,49
Maus,168,142
Max,55,41
Maximierung,3,2
Maximum,52,32
Maß,67,67
Maßnahme,22,15
Mechanik,53,43
Mechaniker,42,37
Medaille,109,77
Mediation,21,14
Mediator,12,11
Medien,152,126
Medikament,144,124
Medikamente,134,117
Meditation,86,73
Medium,19,15
Medizin,413,338
Mediziner,3,3
Meer,1427,1155
Meerschweinchen,12,10
Meeting,132,112
Mehl,212,178
Mehrheit,47,36
Meilen,5,4
Meinung,589,496
Meinungsfreiheit,20,17
Meinungsäußerung,12,6
Meister,65,55
Meisterschaft,5,4
Meißel,6,6
Melodica,0,0
Melodie,93,80
Melone,17,12
Menge,337,336
Mensa,31,28
Mensch,863,687
Menschen,1271,1044
Menschenmenge,77,65
Menschenrecht,24,19
Menschheit,39,33
Menschlichkeit,87,69
Menü,18,15
Merkel,133,118
Merkmal,72,61
Messe,49,48
Messer,461,380
Metaebene,2,2
Metal,43,37
Metall,606,493
Metamorphose,22,20
Meter,86,64
Methanol,1,0
Methode,49,42
Methoden,8,7
Metro,17,15
Metzger,42,33
Mexiko,19,16
Michael,18,16
Mieder,4,3
Miete,45,45
Migration,50,43
Migrationshintergrund,9,7
Mikrofon,30,26
Milch,447,350
Milieu,11,5
Militär,432,364
Milliarde,6,6
Million,16,15
Millionen,12,10
Millionär,22,19
Mimik,43,42
Minderheit,42,31
Mine,28,21
Mineralwasser,28,21
Minimum,48,32
Minister,36,32
Ministerpräsident,6,5
Minute,75,60
Mischung,33,25
Missbrauch,43,42
Mission,14,13
Misstrauen,37,37
Mist,87,65
Mitarbeiter,90,78
Mitgefühl,113,99
Mitglied,33,28
Mitleid,82,64
Mitmenschen,37,35
Mitspracherecht,3,2
Mittag,40,32
Mittagessen,42,38
Mitte,137,106
Mittel,64,62
Mittelalter,356,286
Mittelmeer,61,50
Mittelpunkt,65,55
Mittwoch,30,23
Mix,13,10
Mobbing,86,67
Mobilität,37,32
Modalverb,5,4
Mode,456,377
Model,67,58
Modell,50,45
Mofa,30,25
Mokick,0,0
Moment,109,96
Monarchie,74,62
Monat,262,234
Mond,216,173
Mongolei,5,3
Monolog,18,14
Monster,40,33
Montag,62,50
Moor,34,29
Moped,21,14
Moral,178,142
Mord,315,243
Morgen,153,151
Moritz,39,34
Moskau,28,22
Motiv,31,27
Motivation,227,189
Motor,153,123
Motorrad,102,76
Motorroller,18,12
Motto,9,8
Mozart,100,86
Multiplikation,34,27
Mund,386,310
Mundharmonika,20,16
Mundorgel,0,0
Museum,242,196
Musical,29,24
Musik,3088,2455
Musiker,52,40
Musikinstrument,169,146
Muskel,69,61
Muskeln,171,126
Muster,118,117
Mutter,711,586
Muttersprache,37,30
Muttertag,5,3
Mutti,20,17
Mädchen,300,254
Mädel,3,3
Mähne,35,31
Männer,258,209
Männername,36,34
Märchen,353,291
März,40,34
Märzenbecher,1,1
Möbel,373,314
Möbelstück,36,27
Möglichkeit,227,198
Möglichkeiten,123,106
Möhre,42,34
Mönch,66,52
Mörder,108,86
Mörtel,36,30
Mücke,48,40
Müdigkeit,52,42
Mühe,99,96
Mühle,52,38
Müll,351,277
Müller,55,47
München,123,96
Münchner,2,0
Münster,31,26
Münze,48,45
Müsli,39,32
Mütze,160,129
Nabel,8,6
Nachbar,107,91
Nachbarland,26,24
Nachbarn,78,62
Nachbarschaft,28,24
Nachfolger,4,2
Nachfrage,40,38
Nachhaltigkeit,38,36
Nachmittag,22,17
Nachname,106,95
Nachricht,182,146
Nachrichten,265,221
Nachsicht,29,28
Nacht,512,421
Nachteil,64,49
Nachthemd,7,2
Nachttisch,10,8
Nachweis,38,29
Nadel,162,145
Nagel,151,151
Nahrung,163,142
Nahrungsaufnahme,2,2
Nahrungsmittel,53,44
Name,824,707
Narbe,19,18
Narkose,32,22
Nase,296,243
Nashorn,9,9
Nation,82,76
Nationalität,41,34
Nationalsozialismus,58,51
Nationalstolz,5,3
Natur,1017,828
Naturwissenschaft,39,36
Nazi,83,63
Nebel,124,108
Neckar,29,25
Neid,91,75
Neigung,24,20
Nerven,56,55
Nervosität,87,73
Nest,63,49
Netz,115,91
Netzwerk,69,60
Neuanfang,100,79
Neubau,8,7
Neubrandenburg,0,0
Neugier,199,155
Neugierde,51,39
Neuigkeit,33,24
Neuseeland,13,10
Neuwied,0,0
Neuzeit,6,4
New York,132,96
Nicki,1,1
Niederlage,65,58
Niederlande,44,40
Niere,28,24
Nirvana,6,5
Nirwana,4,2
Nische,5,4
Niveau,56,44
Nomen,54,43
Nonne,54,48
Nord,76,58
Nordafrika,26,22
Norden,250,210
Nordkorea,41,36
Nordsee,55,44
Norm,82,74
Normalbürger,1,1
Norwegen,54,47
Nostalgie,32,27
Not,219,180
Notar,38,30
Note,212,185
Noten,291,237
Notfall,75,69
Notiz,48,38
Notwendigkeit,77,67
November,50,40
Nuance,4,3
Nudeln,73,58
Nummer,139,117
Nutzung,23,21
Nächstenliebe,50,40
Nähe,218,214
Nürnberg,16,16
Nürnberger,4,3
Obama,65,47
Obdachlose,6,6
Oberfläche,79,66
Oberhemd,0,0
Oberschenkel,5,5
Objekt,142,118
Objektivität,46,36
Oboe,25,18
Obst,436,349
Oder,25,25
Ofen,125,107
Offenheit,91,79
Offizier,19,14
Ohnmacht,45,40
Ohr,114,92
Ohren,109,87
Ohrfeige,26,26
Oktober,42,34
Oktoberfest,105,92
Olympia,84,61
Oma,528,408
Onkel,117,97
Opa,284,216
Oper,158,136
Operation,85,77
Opfer,151,150
Opportunist,4,3
Opposition,33,26
Optik,34,24
Optimierung,25,24
Optimist,9,6
Option,49,44
Optionen,29,24
Orangensaft,23,17
Orchester,362,301
Orden,45,42
Ordner,112,100
Ordnung,558,444
Organ,149,123
Organisation,193,154
Orgel,31,24
Orient,56,45
Orientierung,114,100
Ort,434,366
Ost,100,77
Ostblock,32,22
Osten,265,212
Ostern,143,124
Osteuropa,55,44
Ostsee,70,58
Otto,25,22
Overall,6,4
Oxford,12,12
Ozean,70,59
PC,151,121
Packung,16,12
Paddel,24,23
Paket,279,233
Pakistan,3,1
Panflöte,2,1
Panik,97,71
Panne,27,23
Panorama,16,13
Pantoffeln,0,0
Panzer,48,39
Papa,137,105
Papagei,17,14
Papier,857,705
Pappe,24,24
Paprika,40,25
Papst,140,111
Paragraph,37,33
Parfum,34,28
Paris,189,164
Park,76,76
Parka,5,4
Parkplatz,27,20
Parlament,160,137
Partei,326,276
Parteitag,6,6
Partie,3,1
Partner,299,251
Partnerbörse,3,3
Partnerin,14,13
Partnerschaft,107,96
Party,464,380
Pass,66,66
Passion,40,37
Pastor,28,26
Patent,23,23
Patient,36,32
Pauke,5,5
Paul,21,18
Pause,175,175
Pech,85,65
Pelz,44,36
Penis,134,112
Pension,47,35
Peperoni,7,5
Percussion,4,4
Periode,43,33
Person,351,295
Personal,24,23
Personalrat,5,4
Personen,111,88
Personendaten,4,4
Personengruppe,2,2
Perspektive,117,98
Persönlichkeit,210,170
Peru,22,20
Perzeption,5,4
Pest,19,17
Peter,64,51
Petersilie,28,22
Petroleum,1,1
Pfad,18,13
Pfanne,55,49
Pfarrer,112,93
Pfeffer,63,52
Pfeife,30,26
Pfeil,78,64
Pferd,457,368
Pferde,132,111
Pferdewagen,3,2
Pflanze,217,208
Pflanzen,195,189
Pflaster,58,58
Pflaume,10,7
Pflege,92,90
Pflicht,293,240
Pfund,12,9
Phantasie,76,61
Phase,23,16
Philosoph,41,32
Philosophie,158,131
Photo,18,17
Phrase,11,11
Physik,346,272
Physiotherapie,17,13
Phänomen,7,4
Picasso,29,22
Piccoloflöte,0,0
Pickel,60,47
Pille,48,40
Pilot,23,20
Pilze,27,23
Pinguin,22,16
Pinsel,84,84
Pirat,54,44
Pistole,145,115
Pizza,158,126
Plagiat,36,30
Plakat,31,25
Plakette,6,6
Plan,342,340
Planet,46,39
Planung,141,120
Planwirtschaft,8,6
Plastik,226,166
Platte,27,24
Plattform,13,12
Platz,213,213
Platzierung,16,13
Pleite,10,10
Pläne,21,18
Po,65,52
Poesie,53,45
Pokal,59,54
Polen,74,58
Politik,1603,1313
Politiker,201,170
Polizei,911,737
Polizist,65,58
Pommes,62,51
Popcorn,48,38
Porree,8,5
Portrait,19,12
Portugal,10,8
Porzellan,74,55
Posaune,30,30
Position,129,105
Post,568,470
Postbote,44,34
Postmann,4,4
Power,42,31
Prag,41,34
Prater,16,13
Praxis,112,97
Preis,255,250
Premiere,9,9
Presse,77,76
Priester,51,40
Prinz,41,31
Prinzessin,93,70
Prinzip,17,15
Priorität,50,41
Privatleben,3,3
Privatsphäre,44,33
Probe,42,42
Problem,380,321
Problematik,2,1
Produkt,121,99
Produktion,82,67
Professor,148,121
Profi,25,23
Profil,22,18
Profit,32,26
Prognose,13,12
Programm,89,74
Projekt,149,124
Projektion,12,11
Promille,9,6
Prospekt,6,5
Protest,59,48
Protokoll,35,35
Provinz,5,5
Prozent,60,49
Prozess,209,173
Prozession,1,1
Prädikat,42,37
Präsentation,97,86
Präsenz,26,22
Präsident,134,109
Präzision,38,33
Prüfung,467,380
Prüfungsangst,4,4
Psyche,84,59
Psychologe,39,35
Psychologie,227,191
Pubertät,80,71
Publikum,96,82
Pudel,14,10
Pulli,46,32
Pullover,148,116
Pullunder,5,3
Pult,29,24
Pulver,30,19
Punkt,192,148
Puppe,42,35
Pusteblume,21,17
Putin,107,84
Putzfrau,21,18
Putzmittel,45,39
Puzzle,33,29
Pyramiden,36,30
Päckchen,21,18
Pädagoge,8,8
Pädagogik,30,26
Pünktlichkeit,59,50
Quadrat,56,46
Quadratmeter,18,13
Qual,61,52
Qualifikation,21,20
Qualität,131,109
Quantität,24,21
Quartier,34,30
Quatsch,74,72
Quecksilber,17,12
Queen,103,85
Quelle,101,99
Querflöte,21,14
Quittung,35,31
Quote,10,8
Rabatt,24,21
Rache,18,15
Rad,129,101
Radieschen,5,5
Radio,180,150
Rahmen,70,56
Rahmenbedingung,0,0
Rakete,25,22
Rang,60,60
Raps,2,0
Raspel,2,0
Rasse,31,28
Rassismus,96,70
Rat,78,63
Rathaus,45,36
Ratschlag,44,35
Ratte,32,26
Raub,58,39
Raubtier,48,38
Rauch,156,128
Raum,270,219
Raupe,33,28
Raureif,5,3
Rausch,42,32
Reagenzglas,50,46
Reaktion,125,97
Realität,129,104
Rechenaufgabe,7,7
Recherche,49,41
Rechner,38,34
Rechnung,214,178
Recht,310,309
Rechtfertigung,41,34
Rechthaberei,8,7
Rechtsanwalt,47,40
Rechtschreibung,90,82
Recycling,54,36
Redaktion,4,4
Rede,139,139
Redner,33,22
Referat,34,32
Reflexion,40,33
Reform,12,9
Regal,151,122
Regel,227,224
Regeln,254,254
Regelung,27,23
Regen,591,584
Regenbogen,54,42
Regenmantel,2,2
Regenschirm,46,37
Regenwald,49,41
Regie,10,7
Regierung,282,248
Region,66,54
Regionalexpress,1,1
Regisseur,30,25
Reh,90,78
Reichtum,264,223
Reife,21,21
Reifen,90,88
Reihe,75,73
Reihenfolge,102,86
Reinheit,22,15
Reinigung,54,45
Reis,44,40
Reise,434,431
Reiseziel,13,10
Reiz,17,17
Relation,30,25
Religion,835,690
Relikt,3,3
Rente,120,106
Rentier,47,36
Rentner,44,37
Reparatur,98,73
Reptil,30,24
Republik,22,22
Resolution,2,1
Respekt,238,193
Ressource,15,12
Rest,39,34
Restaurant,280,235
Resultat,95,74
Rettich,5,4
Rettung,82,66
Reue,63,49
Revolution,106,96
Rezension,4,4
Rezept,83,70
Rhein,139,122
Rhythmus,81,60
Richard,2,1
Richter,310,258
Richtung,260,215
Riemen,5,4
Riese,33,30
Riesenrad,25,22
Rinde,18,15
Ring,160,123
Ringschlüssel,1,1
Risiko,181,150
Ritter,194,159
Rituale,10,10
Robe,37,33
Roboter,33,28
Rock,151,120
Roggen,19,17
Rohr,56,46
Rohrzange,3,1
Rollator,39,30
Rolle,38,37
Rollenspiel,14,13
Roller,43,34
Rollschuhe,5,4
Rollstuhl,80,65
Rolltreppe,15,14
Rom,153,119
Roman,115,103
Romantik,114,92
Rose,57,42
Rosenkohl,5,4
Rote Beete,2,2
Rotkohl,24,16
Rotwein,17,11
Routine,81,66
Rucksack,64,51
Rudel,17,13
Ruder,22,22
Ruderboot,9,9
Rudolf,13,11
Ruhe,728,721
Ruhm,52,44
Rum,20,16
Rumba,2,0
Rumpf,4,3
Rumänien,20,16
Runde,28,28
Russland,350,290
Rätsel,97,94
Räuber,82,68
Résumé,0,0
Römer,64,57
Rübe,19,16
Rücken,96,93
Rückhalt,9,7
Rückkehr,13,10
Rücksicht,62,53
Rücksichtnahme,16,14
Rücktritt,1,1
Rüssel,39,29
Rüstung,49,46
S-Bahn,14,14
SPD,68,49
SPÖ,1,1
Saal,52,41
Saat,8,6
Sache,174,147
Sachen,100,81
Sachlichkeit,8,7
Sachverhalt,31,27
Sack,66,56
Saft,60,46
Sahne,58,57
Saison,8,6
Saite,47,40
Saiten,77,69
Salat,374,280
Salbei,1,0
Sale,7,6
Salpetersäure,1,1
Salz,180,137
Salzburg,15,13
Salzsäure,12,11
Samariter,11,8
Samen,40,35
Sammlung,66,59
Samstag,54,44
Sand,289,220
Sandale,4,3
Sanierung,8,6
Sarg,57,46
Satz,218,181
Satzbau,35,26
Satzglied,4,3
Satzzeichen,62,54
Sauberkeit,108,86
Saudi-Arabien,3,2
Sauer,34,34
Sauerkraut,38,32
Sauerstoff,82,67
Sauna,79,66
Saxophon,37,29
Schach,140,113
Schadenfreude,8,7
Schaf,94,75
Schaffner,22,21
Schal,60,60
Schale,39,37
Schalter,60,51
Scham,137,106
Schande,13,10
Schatten,55,47
Schatz,176,132
Schau,8,7
Schaubild,5,5
Schaufel,46,45
Schaukelstuhl,15,13
Schaum,52,39
Schauspiel,67,54
Schauspieler,185,156
Scheibe,72,59
Scheich,29,20
Scheidung,113,92
Schein,99,72
Scheiße,49,46
Schelle,5,5
Schere,151,151
Scherz,25,21
Schicht,29,24
Schicksal,149,121
Schiefe,2,2
Schienen,47,47
Schiff,698,556
Schild,162,131
Schiller,58,49
Schilling,2,1
Schimmel,73,57
Schimpanse,13,6
Schimpfwort,110,88
Schirm,64,44
Schirmständer,3,3
Schlacht,35,31
Schlaf,180,177
Schlafanzug,28,24
Schlafzimmer,56,46
Schlag,58,56
Schlagzeug,62,51
Schlamm,57,46
Schlange,152,121
Schleife,45,45
Schleifmaschine,1,1
Schleifpapier,22,16
Schlinge,2,2
Schlips,19,18
Schlitten,44,35
Schlittschuh,4,3
Schloss,269,267
Schlosser,12,10
Schluss,215,161
Schlussfolgerung,50,44
Schlüpfer,16,14
Schlüssel,187,180
Schmerz,951,718
Schmerzen,352,346
Schmetterling,91,75
Schmidt,29,22
Schmied,43,38
Schminke,43,43
Schmuck,208,207
Schmutz,179,134
Schnaps,88,65
Schnauze,19,18
Schnecke,62,53
Schnee,531,435
Schneider,29,29
Schnelligkeit,50,39
Schnitt,32,32
Schnittlauch,16,15
Schnitzel,42,37
Schnur,78,62
Schnurrbart,16,9
Schock,44,44
Schokolade,252,209
Schornstein,27,18
Schornsteinfeger,24,23
