GENESIS-Tabelle: 12411-0013
Bevölkerung: Bundesländer, Stichtag, Geschlecht, Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Baden-Württemberg;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Bayern;Berlin;Berlin;Berlin;Brandenburg;Brandenburg;Brandenburg;Bremen;Bremen;Bremen;Hamburg;Hamburg;Hamburg;Hessen;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Saarland;Sachsen;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen;Thüringen
;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
31.12.2023;53-Jährige;78565;79146;157711;94308;95217;189525;23185;23021;46206;18292;17899;36191;4596;4449;9045;12691;12680;25371;45062;45960;91022;10944;10530;21474;57707;59453;117160;126000;128782;254782;28729;29413;58142;6482;6641;13123;28360;25957;54317;15910;15230;31140;21372;22052;43424;15407;14393;29800
31.12.2023;54-Jährige;84174;83912;168086;102139;101541;203680;24119;23636;47755;18863;18675;37538;4823;4741;9564;13263;12963;26226;48455;48491;96946;11261;10952;22213;62784;63713;126497;137780;140167;277947;31182;31471;62653;7191;7456;14647;28236;26459;54695;16298;15676;31974;23433;24366;47799;15468;14584;30052
31.12.2023;55-Jährige;87488;87508;174996;106109;105260;211369;25212;24867;50079;19755;19717;39472;5055;4998;10053;14170;13871;28041;50789;50369;101158;11886;11797;23683;65848;66566;132414;143711;146061;289772;32895;33144;66039;7609;7963;15572;28404;26902;55306;16668;16120;32788;24876;25845;50721;15501;15000;30501
31.12.2023;56-Jährige;89322;88347;177669;108122;107394;215516;25088;24783;49871;20815;20798;41613;5105;4987;10092;14030;13819;27849;50984;51291;102275;12174;12414;24588;67332;68723;136055;146627;148509;295136;33456;34125;67581;7972;8134;16106;29195;27892;57087;17122;16911;34033;25754;26589;52343;15743;15702;31445
31.12.2023;57-Jährige;90672;89957;180629;108412;107826;216238;25729;26265;51994;22032;22235;44267;5238;5097;10335;14083;13948;28031;51849;51873;103722;13211;13345;26556;68604;69312;137916;149677;151054;300731;35044;34959;70003;8294;8443;16737;30326;29792;60118;17822;17510;35332;25728;26762;52490;16863;16678;33541
31.12.2023;58-Jährige;90113;88939;179052;107361;105930;213291;26651;26472;53123;23014;22818;45832;5193;5172;10365;13426;13508;26934;51483;51914;103397;13823;14050;27873;67612;68014;135626;148262;149845;298107;34660;35018;69678;8225;8758;16983;31471;30794;62265;18391;18471;36862;25032;26351;51383;17159;17295;34454
31.12.2023;59-Jährige;90852;90222;181074;107854;107934;215788;26747;27136;53883;23900;23623;47523;5075;5084;10159;13539;13555;27094;51876;51722;103598;14609;14701;29310;67420;69027;136447;149420;151056;300476;35297;35678;70975;8385;8951;17336;32004;32528;64532;18880;19304;38184;25585;26144;51729;18014;18182;36196
31.12.2023;60-Jährige;89261;88590;177851;105137;106676;211813;26499;26789;53288;24295;24403;48698;4795;5096;9891;12796;13080;25876;50558;50760;101318;15009;15325;30334;66163;67611;133774;145504;147997;293501;35201;35345;70546;8518;8856;17374;32542;32631;65173;19584;19741;39325;24435;25693;50128;18276;18657;36933
31.12.2023;61-Jährige;85597;85610;171207;101021;103184;204205;24916;25517;50433;23978;24163;48141;4736;4946;9682;11800;12135;23935;47769;48762;96531;14852;15260;30112;63374;65547;128921;138447;141513;279960;33962;34684;68646;8420;8738;17158;31741;32106;63847;19035;19770;38805;23181;24399;47580;17981;18460;36441
31.12.2023;62-Jährige;82522;84327;166849;98726;101058;199784;23178;24252;47430;23453;23831;47284;4458;4722;9180;11055;11739;22794;45901;47587;93488;14937;15351;30288;62366;64309;126675;133605;139107;272712;33390;34335;67725;8598;8670;17268;31176;32391;63567;18818;19599;38417;22527;23663;46190;18350;19007;37357
31.12.2023;63-Jährige;79068;82048;161116;93930;96669;190599;22299;22699;44998;22110;22893;45003;4209;4595;8804;10729;11230;21959;44117;45650;89767;14311;15171;29482;58996;61496;120492;129387;135623;265010;31784;33286;65070;8098;8468;16566;29797;31081;60878;18263;18860;37123;21261;22519;43780;17343;17980;35323
31.12.2023;64-Jährige;75213;78020;153233;89834;92932;182766;20997;21871;42868;21492;22030;43522;4055;4507;8562;9932;10654;20586;42146;43986;86132;13961;14763;28724;56878;59508;116386;124094;131339;255433;30732;31830;62562;8325;8418;16743;29205;30933;60138;17368;18683;36051;20445;21833;42278;17067;17955;35022
31.12.2023;65-Jährige;70635;73839;144474;84350;88204;172554;18813;19957;38770;19511;20350;39861;3888;4326;8214;9333;10206;19539;39493;41435;80928;13142;13867;27009;52897;55895;108792;116404;123784;240188;28730;30000;58730;7751;8084;15835;26541;28795;55336;16311;17375;33686;19204;20364;39568;15746;16725;32471
31.12.2023;66-Jährige;67750;71104;138854;80236;85135;165371;17679;19155;36834;18897;19637;38534;3794;4270;8064;8721;9632;18353;37814;40279;78093;12671;13423;26094;51027;54689;105716;112308;119935;232243;28207;29274;57481;7442;7737;15179;25994;28582;54576;15673;17208;32881;18064;20092;38156;15494;16653;32147
31.12.2023;67-Jährige;64523;69544;134067;76384;81212;157596;17031;18808;35839;18364;19430;37794;3541;3987;7528;8132;9152;17284;35822;38728;74550;12354;13550;25904;48609;52207;100816;106318;115301;221619;26617;28291;54908;6931;7474;14405;26101;28926;55027;15408;17573;32981;16946;18787;35733;15581;16852;32433
31.12.2023;68-Jährige;60207;65829;126036;70648;77108;147756;16385;18717;35102;18148;19362;37510;3375;3933;7308;7652;8618;16270;33618;37068;70686;12340;13620;25960;46193;50014;96207;99450;111176;210626;25185;27177;52362;6459;7137;13596;26456;29838;56294;15957;17573;33530;16299;18183;34482;15317;17037;32354
31.12.2023;69-Jährige;56765;64135;120900;67175;75525;142700;15719;18614;34333;17321;19124;36445;3195;3824;7019;7234;8500;15734;32433;36410;68843;12176;13294;25470;44034;49226;93260;95623;108531;204154;24286;26507;50793;6439;7152;13591;25609;29746;55355;15211;17114;32325;15836;18069;33905;14837;16656;31493
31.12.2023;70-Jährige;53584;61381;114965;63805;72112;135917;15069;18264;33333;16779;18793;35572;3065;3659;6724;6664;8203;14867;30086;34663;64749;11664;13040;24704;42065;47065;89130;88832;103236;192068;23155;25784;48939;6203;6890;13093;25369;29754;55123;14782;17351;32133;15070;16981;32051;14581;16412;30993
31.12.2023;71-Jährige;52635;60927;113562;62686;72584;135270;14464;18081;32545;15992;18265;34257;2923;3657;6580;6769;8176;14945;30012;34775;64787;10998;12649;23647;41786;46948;88734;86373;101598;187971;22935;25146;48081;6043;6616;12659;25452;29820;55272;14544;16947;31491;14778;16824;31602;14338;16172;30510
31.12.2023;72-Jährige;50487;58316;108803;59731;69506;129237;14418;18266;32684;15588;17375;32963;2922;3625;6547;6396;8052;14448;28906;34061;62967;10421;12072;22493;40597;45715;86312;81928;97265;179193;22020;24375;46395;5611;6379;11990;25318;30627;55945;13516;16339;29855;14574;16606;31180;13895;15977;29872
31.12.2023;73-Jährige;49497;58556;108053;59671;69361;129032;14572;18962;33534;14130;16464;30594;2942;3552;6494;6515;8308;14823;29483;34317;63800;9617;10936;20553;39956;45053;85009;80652;96003;176655;21926;24358;46284;5624;6355;11979;23957;29032;52989;13083;15793;28876;14369;16721;31090;12696;15254;27950
31.12.2023;74-Jährige;48253;56484;104737;57015;67185;124200;13593;17399;30992;11846;13895;25741;2884;3505;6389;6462;8137;14599;28746;33696;62442;8043;9417;17460;38772;43911;82683;79388;94304;173692;20575;23403;43978;5692;6401;12093;20380;25337;45717;11164;14090;25254;14241;16299;30540;11234;13324;24558
31.12.2023;75-Jährige;43971;50925;94896;53560;62676;116236;12292;15705;27997;10079;11779;21858;2612;3245;5857;6311;7719;14030;26642;30994;57636;6792;8053;14845;35413;40032;75445;70655;85323;155978;17298;19843;37141;4723;5430;10153;16055;20180;36235;9268;11698;20966;13435;15755;29190;9383;11432;20815
31.12.2023;76-Jährige;39711;47087;86798;51248;60514;111762;11217;14679;25896;9089;11243;20332;2472;3098;5570;5919;7182;13101;24093;28997;53090;6082;7423;13505;30963;36295;67258;63487;77435;140922;15000;17421;32421;3730;4413;8143;15447;20207;35654;8839;11336;20175;12157;14430;26587;8750;10841;19591
31.12.2023;77-Jährige;33574;40511;74085;43061;52888;95949;8756;10974;19730;5956;7591;13547;2397;2922;5319;5219;6607;11826;20144;24234;44378;4007;4783;8790;27862;33442;61304;55907;70043;125950;12947;15239;28186;2882;3576;6458;11362;14875;26237;6827;9012;15839;11045;13384;24429;6803;8847;15650
31.12.2023;78-Jährige;27645;34441;62086;33999;41987;75986;9276;12364;21640;6791;8873;15664;1812;2298;4110;4569;5944;10513;16084;19837;35921;4051;5163;9214;21324;25891;47215;45001;58409;103410;10363;12785;23148;2564;3212;5776;12756;17374;30130;6678;9130;15808;8633;10970;19603;6300;8170;14470
31.12.2023;79-Jährige;35159;44000;79159;42905;53089;95994;12140;15897;28037;9735;13085;22820;2180;2777;4957;5568;7243;12811;20951;26037;46988;5875;7621;13496;27293;34342;61635;56748;74093;130841;13185;16437;29622;3301;4298;7599;18252;24557;42809;9033;12360;21393;11331;14123;25454;8793;11709;20502
31.12.2023;80-Jährige;34057;44007;78064;41453;52095;93548;12389;16622;29011;10277;13536;23813;2262;2843;5105;5419;7239;12658;20006;25195;45201;6034;8187;14221;27415;34370;61785;54876;72635;127511;12670;15908;28578;3089;4127;7216;17307;23931;41238;9065;12440;21505;11382;14136;25518;8606;11316;19922
31.12.2023;81-Jährige;33101;41856;74957;38568;49560;88128;11070;15383;26453;9468;12904;22372;2049;2891;4940;5125;6817;11942;18294;23379;41673;5456;7777;13233;25444;32732;58176;50849;68798;119647;11844;15105;26949;2855;3967;6822;15344;21759;37103;8390;12137;20527;10325;13325;23650;7457;10590;18047
31.12.2023;82-Jährige;36961;50022;86983;44070;59358;103428;12217;17141;29358;11087;15483;26570;2217;3113;5330;5511;7605;13116;20959;27487;48446;6600;9516;16116;29076;38721;67797;57350;80244;137594;13625;18662;32287;3485;5014;8499;18050;26192;44242;9759;14158;23917;12067;15562;27629;9005;12934;21939
31.12.2023;83-Jährige;36257;50723;86980;43455;60905;104360;11008;15831;26839;10284;15021;25305;2182;3051;5233;5236;7739;12975;20709;28627;49336;6027;9321;15348;28103;39089;67192;57434;83441;140875;13713;19625;33338;3317;5010;8327;17471;25565;43036;9187;13853;23040;11415;15187;26602;8828;13682;22510
31.12.2023;84-Jährige;33416;47900;81316;40136;57563;97699;9403;14482;23885;9219;14068;23287;1944;2959;4903;4673;7126;11799;18785;26798;45583;5592;9101;14693;25603;36785;62388;52627;78775;131402;12751;18120;30871;3215;4879;8094;15514;24247;39761;8138;12895;21033;10381;14446;24827;8124;12404;20528
31.12.2023;85-Jährige;28498;42486;70984;33132;49062;82194;8149;12781;20930;7616;12230;19846;1704;2721;4425;4058;6337;10395;15717;23115;38832;4768;7933;12701;22250;33033;55283;45516;70275;115791;10816;15940;26756;2650;4250;6900;12999;20501;33500;6463;10885;17348;8852;12799;21651;6402;10161;16563
31.12.2023;86-Jährige;24200;36670;60870;27037;41867;68904;6832;11308;18140;6364;10583;16947;1411;2310;3721;3514;5453;8967;13127;20015;33142;3826;6693;10519;18490;28155;46645;38458;62008;100466;9049;13958;23007;2410;4010;6420;10682;17521;28203;5436;9339;14775;7408;10884;18292;5024;8636;13660
31.12.2023;87-Jährige;20471;32117;52588;22504;36189;58693;5846;9829;15675;5488;9315;14803;1202;2081;3283;3055;4896;7951;11447;17717;29164;3190;6093;9283;15127;24802;39929;32221;54336;86557;7722;12393;20115;2079;3579;5658;8989;15720;24709;4421;8279;12700;6147;9422;15569;4358;7651;12009
31.12.2023;88-Jährige;17078;27628;44706;18176;31045;49221;4920;8570;13490;4383;8240;12623;994;1727;2721;2439;4320;6759;9007;15250;24257;2686;5150;7836;12332;21407;33739;26817;47099;73916;6256;10692;16948;1618;2900;4518;7875;13728;21603;3593;7242;10835;4874;8131;13005;3443;6534;9977
31.12.2023;89-Jährige;13066;22171;35237;14050;25372;39422;3848;7043;10891;3443;6611;10054;732;1457;2189;1772;3420;5192;7063;12513;19576;2156;4305;6461;9539;17378;26917;20914;39088;60002;4944;8558;13502;1160;2179;3339;5997;11468;17465;2771;5946;8717;3715;6446;10161;2724;5304;8028
31.12.2023;90 Jahre und mehr;34561;74347;108908;36827;83807;120634;8787;20940;29727;7990;19760;27750;1943;4772;6715;5020;11213;16233;18867;41696;60563;4879;13033;17912;23421;56778;80199;52832;127758;180590;12838;29782;42620;3186;7799;10985;13973;36437;50410;6163;18282;24445;8755;20333;29088;6038;16146;22184
31.12.2023;Insgesamt;5633643;5705617;11339260;6664456;6770606;13435062;1860115;1922087;3782202;1271103;1310564;2581667;341986;349717;691703;936740;973420;1910160;3170839;3249890;6420729;801048;828416;1629464;4026230;4135751;8161981;8930892;9259530;18190422;2066181;2108130;4174311;489045;505379;994424;2015937;2073530;4089467;1072906;1107542;2180448;1451443;1514248;2965691;1050971;1071364;2122335
__________
"Berlin: bis 1989 nur Berlin-West.
Neue Länder ab 1990.

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2024
Stand: 14.06.2024 / 18:11:19
